essential gift,529,63
luxury gift,205,1,3,41
essential gift,856,82
luxury gift,643,5,1,10
essential gift,810,93
luxury gift,893,6,4,55
utility gift,929,36,2,27
luxury gift,737,1,8,18
essential gift,645,50
essential gift,377,83
utility gift,426,71,7,10
luxury gift,437,9,7,99
essential gift,585,80
utility gift,35,40,2,6
luxury gift,489,6,0,29
luxury gift,984,6,2,25
luxury gift,884,2,1,8
essential gift,860,51
luxury gift,845,3,6,3
utility gift,318,86,1,21
utility gift,476,98,7,62
luxury gift,345,8,8,66
utility gift,515,24,2,1
utility gift,5,6,8,10
essential gift,966,42
utility gift,259,17,8,96
essential gift,531,10
utility gift,935,35,6,97
essential gift,568,22
utility gift,739,35,4,96
luxury gift,90,2,1,80
utility gift,390,44,8,70
essential gift,780,9
utility gift,63,40,9,58
luxury gift,995,1,1,64
essential gift,602,5
essential gift,160,31
luxury gift,831,3,1,84
utility gift,911,5,0,64
essential gift,535,90
luxury gift,799,6,4,85
luxury gift,801,0,9,31
essential gift,555,72
luxury gift,657,2,3,13
utility gift,872,86,6,15
essential gift,807,92
utility gift,452,31,5,4
luxury gift,169,9,3,34
luxury gift,380,5,3,77
utility gift,501,97,6,96
